perturbed_top_10,perturbed_rank,keep_len,keep_index,masked_len,masked_index
"[(513, 0.27649197), (297, 0.25458226), (85, 0.23123132), (627, 0.07058965), (67, 0.04329682), (95, 0.041557185), (110, 0.037676882), (493, 0.029487908), (164, 0.027275769), (1044, 0.025054438), (312, 0.020311754), (339, 0.015018232), (535, 0.014867679), (566, 0.012682588), (675, 0.011098689), (428, 0.010825553), (448, 0.010203254), (961, 0.01007431), (1122, 0.009850619), (458, 0.009739903)]","[513, 297, 85, 627, 67, 95, 110, 493, 164, 1044, 312, 339, 535, 566, 675, 428, 448, 961, 1122, 458]",37,"[479, 656, 691, 282, 504, 460, 22, 126, 520, 273, 204, 174, 175, 3, 710, 694, 58, 128, 526, 695, 184, 154, 705, 167, 469, 417, 81, 47, 131, 215, 6, 49, 197, 603, 698, 169, 272]",146,"[0, 512, 517, 518, 8, 10, 11, 12, 524, 15, 528, 529, 530, 21, 31, 32, 39, 557, 55, 59, 63, 68, 69, 581, 587, 588, 84, 601, 602, 92, 605, 97, 98, 99, 609, 610, 614, 616, 115, 628, 123, 132, 133, 134, 136, 650, 651, 653, 654, 143, 655, 662, 663, 152, 155, 156, 159, 160, 161, 163, 173, 685, 177, 178, 179, 181, 182, 692, 185, 693, 696, 190, 191, 697, 193, 194, 196, 198, 199, 703, 704, 202, 706, 708, 709, 711, 210, 217, 220, 222, 229, 233, 237, 244, 268, 274, 275, 284, 285, 288, 293, 301, 318, 320, 332, 333, 356, 366, 370, 384, 403, 413, 419, 429, 431, 434, 699, 446, 700, 701, 461, 462, 702, 466, 473, 474, 477, 478, 481, 482, 483, 485, 707, 487, 488, 492, 494, 495, 496, 497, 498, 501, 503, 508, 509, 510]"
"[(95, 0.40396062), (513, 0.29196954), (297, 0.26355448), (85, 0.22724767), (312, 0.116118364), (110, 0.046891693), (67, 0.03532376), (164, 0.033243913), (627, 0.02855878), (493, 0.024512334), (1044, 0.022975456), (339, 0.018064285), (566, 0.016894277), (675, 0.010151228), (612, 0.009975119), (428, 0.009967775), (1122, 0.009954383), (432, 0.009854169), (458, 0.009240601), (970, 0.009112203)]","[95, 513, 297, 85, 312, 110, 67, 164, 627, 493, 1044, 339, 566, 675, 612, 428, 1122, 432, 458, 970]",32,"[503, 156, 128, 603, 366, 177, 285, 81, 274, 284, 175, 528, 431, 12, 301, 288, 32, 530, 191, 691, 477, 68, 160, 134, 39, 222, 702, 167, 417, 198, 711, 163]",151,"[0, 512, 3, 517, 6, 518, 8, 520, 10, 11, 524, 526, 15, 529, 21, 22, 31, 557, 47, 49, 55, 58, 59, 63, 69, 581, 587, 588, 84, 601, 602, 92, 605, 97, 98, 99, 609, 610, 614, 616, 115, 628, 123, 126, 131, 132, 133, 136, 650, 651, 653, 654, 143, 655, 656, 662, 663, 152, 154, 155, 159, 161, 169, 173, 174, 685, 178, 179, 181, 182, 692, 184, 185, 693, 694, 695, 696, 190, 697, 193, 194, 698, 196, 197, 199, 703, 704, 202, 706, 204, 708, 709, 710, 210, 215, 217, 220, 229, 233, 237, 244, 268, 272, 273, 275, 282, 293, 318, 320, 332, 333, 356, 370, 384, 403, 413, 419, 429, 434, 699, 446, 700, 701, 460, 461, 462, 466, 469, 473, 474, 705, 478, 479, 481, 482, 483, 485, 707, 487, 488, 492, 494, 495, 496, 497, 498, 501, 504, 508, 509, 510]"
"[(513, 0.8138014), (297, 0.81087303), (85, 0.80767727), (95, 0.7659694), (627, 0.7390922), (1044, 0.60539585), (312, 0.55618066), (493, 0.47253576), (110, 0.47005346), (164, 0.44316772), (67, 0.43106866), (970, 0.33234313), (339, 0.28813475), (566, 0.2686855), (535, 0.24727604), (149, 0.21538481), (432, 0.20958455), (961, 0.20530309), (428, 0.19385582), (448, 0.18290347)]","[513, 297, 85, 95, 627, 1044, 312, 493, 110, 164, 67, 970, 339, 566, 535, 149, 432, 961, 428, 448]",150,"[133, 320, 662, 528, 477, 49, 487, 81, 704, 692, 196, 210, 115, 587, 504, 174, 711, 136, 333, 603, 134, 318, 524, 699, 616, 98, 128, 656, 244, 84, 99, 654, 655, 237, 32, 403, 705, 653, 485, 610, 156, 131, 434, 202, 526, 182, 461, 466, 651, 501, 132, 175, 59, 233, 696, 273, 177, 494, 159, 710, 518, 167, 161, 510, 12, 417, 492, 691, 356, 15, 184, 693, 479, 529, 8, 498, 588, 293, 301, 123, 474, 469, 508, 497, 63, 217, 601, 695, 512, 3, 154, 605, 429, 284, 69, 173, 39, 215, 332, 481, 282, 602, 462, 185, 702, 663, 431, 181, 199, 366, 701, 614, 31, 697, 495, 193, 11, 179, 191, 557, 384, 419, 47, 222, 152, 10, 488, 143, 204, 698, 708, 706, 169, 22, 155, 126, 6, 703, 707, 483, 220, 581, 194, 482, 517, 97, 190, 370, 496, 268]",33,"[0, 520, 530, 21, 55, 58, 68, 92, 609, 628, 650, 160, 163, 685, 178, 694, 197, 198, 709, 229, 272, 274, 275, 285, 288, 413, 446, 700, 460, 473, 478, 503, 509]"
"[(513, 0.82484424), (297, 0.8140481), (85, 0.7990209), (95, 0.68746865), (1044, 0.5728864), (312, 0.5361951), (493, 0.5307774), (110, 0.48888364), (627, 0.43451187), (67, 0.41117063), (566, 0.37890884), (164, 0.37353027), (535, 0.28870246), (1122, 0.24740456), (339, 0.19966778), (675, 0.17000592), (612, 0.15292233), (548, 0.15010753), (432, 0.14291997), (428, 0.13682441)]","[513, 297, 85, 95, 1044, 312, 493, 110, 627, 67, 566, 164, 535, 1122, 339, 675, 612, 548, 432, 428]",148,"[136, 32, 163, 99, 466, 132, 288, 173, 603, 526, 191, 461, 175, 662, 651, 160, 460, 498, 181, 482, 431, 701, 92, 320, 58, 356, 215, 97, 22, 446, 601, 654, 417, 508, 273, 198, 704, 709, 237, 21, 588, 477, 59, 481, 419, 8, 469, 605, 691, 131, 217, 0, 126, 609, 275, 370, 492, 501, 473, 244, 81, 403, 707, 222, 694, 274, 196, 509, 503, 650, 512, 49, 293, 488, 184, 711, 614, 495, 204, 199, 602, 693, 63, 384, 159, 169, 6, 272, 123, 128, 479, 478, 233, 301, 429, 695, 653, 696, 285, 68, 494, 524, 703, 496, 332, 487, 706, 185, 699, 155, 178, 698, 182, 179, 193, 610, 692, 333, 705, 190, 708, 134, 202, 462, 3, 434, 98, 39, 485, 510, 12, 702, 655, 69, 152, 15, 656, 133, 710, 161, 84, 268, 685, 517, 581, 55, 529, 177]",35,"[518, 520, 10, 11, 528, 530, 31, 557, 47, 587, 616, 115, 628, 143, 663, 154, 156, 167, 174, 697, 194, 197, 210, 220, 229, 282, 284, 318, 366, 413, 700, 474, 483, 497, 504]"
"[(513, 0.84401774), (297, 0.8337861), (85, 0.81230956), (312, 0.7117774), (95, 0.45057097), (110, 0.44401008), (67, 0.42985776), (164, 0.38104376), (627, 0.31065783), (1044, 0.3073689), (493, 0.27918297), (535, 0.26621786), (339, 0.22778903), (149, 0.16680267), (1122, 0.1327428), (448, 0.12358658), (200, 0.12157988), (548, 0.116000645), (675, 0.11009236), (566, 0.10642065)]","[513, 297, 85, 312, 95, 110, 67, 164, 627, 1044, 493, 535, 339, 149, 1122, 448, 200, 548, 675, 566]",159,"[492, 702, 693, 273, 163, 498, 175, 154, 21, 55, 58, 512, 478, 293, 494, 504, 460, 161, 469, 485, 152, 487, 526, 705, 47, 603, 517, 156, 685, 429, 655, 320, 587, 99, 222, 173, 462, 11, 654, 524, 115, 84, 182, 479, 160, 508, 184, 691, 466, 473, 10, 474, 204, 477, 711, 695, 134, 709, 692, 403, 210, 697, 610, 496, 12, 520, 190, 483, 215, 143, 461, 333, 510, 244, 272, 285, 220, 8, 229, 495, 98, 133, 97, 650, 126, 434, 417, 31, 703, 49, 301, 275, 81, 370, 706, 581, 529, 588, 123, 179, 708, 696, 22, 233, 419, 274, 6, 653, 609, 92, 431, 482, 167, 704, 131, 509, 217, 694, 237, 198, 63, 193, 32, 616, 656, 701, 159, 155, 169, 601, 181, 202, 194, 191, 602, 197, 366, 663, 700, 698, 503, 136, 69, 662, 268, 413, 288, 356, 318, 481, 614, 497, 628, 177, 178, 196, 332, 530, 284]",24,"[0, 3, 518, 15, 528, 39, 557, 59, 68, 605, 128, 132, 651, 174, 185, 199, 710, 282, 384, 699, 446, 707, 488, 501]"
"[(297, 0.8370516), (85, 0.83656275), (513, 0.82692903), (67, 0.7165554), (95, 0.67846996), (493, 0.48747516), (312, 0.48515785), (627, 0.47934738), (164, 0.46835956), (1044, 0.4526087), (110, 0.4452087), (535, 0.43926468), (339, 0.33647266), (1122, 0.2644887), (238, 0.25677672), (566, 0.22564147), (448, 0.21777456), (548, 0.20323509), (970, 0.20232147), (612, 0.19127221)]","[297, 85, 513, 67, 95, 493, 312, 627, 164, 1044, 110, 535, 339, 1122, 238, 566, 448, 548, 970, 612]",149,"[370, 21, 526, 39, 494, 244, 152, 0, 711, 332, 177, 485, 704, 710, 167, 708, 691, 616, 483, 8, 175, 15, 517, 222, 419, 210, 229, 692, 181, 655, 174, 702, 159, 446, 512, 272, 131, 22, 156, 488, 601, 696, 184, 194, 128, 6, 274, 417, 202, 68, 581, 614, 182, 288, 695, 161, 217, 268, 700, 698, 709, 285, 32, 429, 602, 496, 492, 284, 97, 610, 59, 706, 504, 462, 193, 461, 628, 524, 697, 275, 136, 356, 197, 49, 366, 163, 498, 63, 651, 11, 47, 233, 333, 703, 293, 469, 155, 663, 509, 413, 196, 134, 126, 478, 474, 237, 318, 81, 603, 654, 198, 55, 530, 653, 301, 132, 529, 701, 605, 160, 518, 662, 487, 495, 154, 588, 503, 10, 178, 99, 204, 179, 185, 479, 477, 707, 31, 460, 705, 190, 482, 510, 699, 384, 508, 58, 69, 320, 431]",34,"[3, 520, 12, 528, 557, 587, 84, 92, 98, 609, 115, 123, 133, 650, 143, 656, 169, 173, 685, 693, 694, 191, 199, 215, 220, 273, 282, 403, 434, 466, 473, 481, 497, 501]"
"[(297, 0.8337146), (513, 0.81858844), (85, 0.782344), (67, 0.4159873), (110, 0.4127243), (95, 0.40310436), (164, 0.37115973), (627, 0.3709459), (1044, 0.36090964), (312, 0.34285524), (493, 0.32529047), (535, 0.25016338), (566, 0.2307705), (970, 0.15896557), (339, 0.13798364), (432, 0.10733669), (675, 0.10272854), (448, 0.088369176), (428, 0.07731558), (238, 0.07657356)]","[297, 513, 85, 67, 110, 95, 164, 627, 1044, 312, 493, 535, 566, 970, 339, 432, 675, 448, 428, 238]",154,"[706, 68, 126, 333, 530, 11, 6, 487, 494, 196, 155, 131, 698, 462, 446, 178, 504, 528, 182, 97, 84, 123, 154, 485, 526, 477, 193, 419, 320, 460, 503, 197, 481, 488, 517, 202, 169, 133, 98, 469, 501, 429, 115, 518, 55, 655, 293, 601, 59, 492, 12, 609, 199, 198, 483, 222, 136, 81, 473, 22, 384, 275, 132, 711, 662, 694, 474, 610, 284, 693, 654, 217, 167, 691, 288, 697, 143, 413, 174, 15, 0, 616, 181, 10, 210, 708, 603, 163, 581, 173, 32, 177, 161, 356, 605, 39, 701, 478, 175, 134, 152, 220, 703, 273, 47, 268, 128, 92, 663, 191, 8, 707, 179, 185, 434, 512, 69, 705, 614, 58, 204, 498, 461, 510, 318, 272, 285, 653, 557, 274, 628, 466, 524, 366, 685, 184, 3, 702, 215, 370, 509, 229, 431, 190, 650, 237, 529, 602, 696, 332, 508, 482, 496, 301]",29,"[520, 21, 31, 49, 63, 587, 588, 99, 651, 656, 156, 159, 160, 692, 695, 194, 704, 709, 710, 233, 244, 282, 403, 417, 699, 700, 479, 495, 497]"
"[(297, 0.8805628), (513, 0.87192506), (85, 0.8555486), (110, 0.6640231), (95, 0.64317465), (312, 0.63476515), (67, 0.49570408), (627, 0.4935612), (493, 0.47762847), (164, 0.4431101), (1044, 0.428657), (535, 0.32417253), (566, 0.30963334), (339, 0.3013584), (149, 0.28593612), (238, 0.23743677), (675, 0.21534209), (200, 0.21041183), (612, 0.20997767), (548, 0.20886585)]","[297, 513, 85, 110, 95, 312, 67, 627, 493, 164, 1044, 535, 566, 339, 149, 238, 675, 200, 612, 548]",182,"[529, 663, 701, 654, 700, 691, 494, 128, 366, 268, 233, 301, 461, 417, 603, 58, 15, 504, 0, 173, 39, 419, 31, 696, 182, 273, 199, 706, 492, 196, 692, 509, 695, 413, 143, 282, 175, 653, 220, 156, 605, 528, 702, 530, 429, 662, 496, 163, 403, 32, 498, 272, 184, 709, 63, 587, 222, 699, 474, 84, 55, 178, 694, 167, 707, 288, 160, 210, 190, 274, 154, 320, 229, 69, 518, 685, 520, 601, 469, 49, 508, 92, 460, 656, 488, 512, 98, 503, 11, 10, 179, 495, 237, 711, 215, 497, 81, 462, 526, 708, 704, 655, 384, 581, 478, 12, 133, 609, 115, 446, 155, 557, 47, 318, 473, 693, 134, 68, 177, 614, 483, 610, 697, 602, 510, 705, 485, 482, 99, 21, 332, 174, 202, 181, 204, 703, 22, 524, 193, 479, 710, 650, 651, 616, 131, 194, 431, 59, 169, 191, 517, 185, 6, 275, 159, 152, 481, 588, 244, 3, 370, 285, 284, 356, 333, 126, 293, 97, 501, 136, 698, 466, 123, 477, 8, 628, 197, 161, 132, 217, 434, 198]",1,[487]
"[(513, 0.28166577), (85, 0.23761737), (297, 0.2316141), (1044, 0.063055456), (110, 0.062538944), (493, 0.045891978), (95, 0.04303328), (67, 0.04127692), (339, 0.037370663), (566, 0.036108904), (164, 0.03203386), (627, 0.029218605), (312, 0.023440527), (535, 0.017590754), (970, 0.012422317), (432, 0.012370179), (961, 0.011764275), (149, 0.01145927), (200, 0.010801837), (448, 0.01071938)]","[513, 85, 297, 1044, 110, 493, 95, 67, 339, 566, 164, 627, 312, 535, 970, 432, 961, 149, 200, 448]",28,"[614, 115, 268, 587, 700, 711, 512, 710, 530, 92, 705, 173, 178, 482, 282, 434, 699, 233, 293, 154, 503, 662, 481, 190, 272, 517, 175, 181]",155,"[0, 3, 6, 518, 8, 520, 10, 11, 12, 524, 526, 15, 528, 529, 21, 22, 31, 32, 39, 557, 47, 49, 55, 58, 59, 63, 68, 69, 581, 588, 81, 84, 601, 602, 603, 605, 97, 98, 99, 609, 610, 616, 628, 123, 126, 128, 131, 132, 133, 134, 136, 650, 651, 653, 654, 143, 655, 656, 663, 152, 155, 156, 159, 160, 161, 163, 167, 169, 174, 685, 177, 179, 691, 182, 692, 184, 185, 693, 694, 695, 696, 191, 697, 193, 194, 698, 196, 197, 198, 199, 703, 704, 202, 706, 204, 708, 709, 210, 215, 217, 220, 222, 229, 237, 244, 273, 274, 275, 284, 285, 288, 301, 318, 320, 332, 333, 356, 366, 370, 384, 403, 413, 417, 419, 429, 431, 446, 701, 460, 461, 462, 702, 466, 469, 473, 474, 477, 478, 479, 483, 485, 707, 487, 488, 492, 494, 495, 496, 497, 498, 501, 504, 508, 509, 510]"
"[(297, 0.352085), (513, 0.13137457), (85, 0.09809151), (627, 0.042489354), (67, 0.026848726), (566, 0.023020416), (110, 0.02084776), (95, 0.016618235), (312, 0.01564733), (493, 0.012266069), (339, 0.0114009185), (535, 0.010030248), (1044, 0.009875491), (164, 0.009255578), (428, 0.006415191), (1122, 0.0061885137), (548, 0.005698081), (448, 0.0054296535), (612, 0.0052376664), (200, 0.0050237738)]","[297, 513, 85, 627, 67, 566, 110, 95, 312, 493, 339, 535, 1044, 164, 428, 1122, 548, 448, 612, 200]",21,"[587, 220, 59, 282, 132, 268, 485, 131, 518, 503, 169, 22, 710, 31, 656, 179, 481, 301, 173, 6, 614]",162,"[0, 512, 3, 517, 8, 520, 10, 11, 12, 524, 526, 15, 528, 529, 530, 21, 32, 39, 557, 47, 49, 55, 58, 63, 68, 69, 581, 588, 81, 84, 601, 602, 603, 92, 605, 97, 98, 99, 609, 610, 616, 115, 628, 123, 126, 128, 133, 134, 136, 650, 651, 653, 654, 143, 655, 662, 663, 152, 154, 155, 156, 159, 160, 161, 163, 167, 174, 175, 685, 177, 178, 691, 181, 182, 692, 184, 185, 693, 694, 695, 696, 190, 191, 697, 193, 194, 698, 196, 197, 198, 199, 703, 704, 202, 706, 204, 708, 709, 711, 210, 215, 217, 222, 229, 233, 237, 244, 272, 273, 274, 275, 284, 285, 288, 293, 318, 320, 332, 333, 356, 366, 370, 384, 403, 413, 417, 419, 429, 431, 434, 699, 446, 700, 701, 460, 461, 462, 702, 466, 469, 473, 474, 705, 477, 478, 479, 482, 483, 707, 487, 488, 492, 494, 495, 496, 497, 498, 501, 504, 508, 509, 510]"
