perturbed_top_10,perturbed_rank,keep_len,keep_index,masked_len,masked_index
"[(285, 0.71932805), (99, 0.6887239), (95, 0.58268034), (306, 0.47626457), (88, 0.4472267), (10, 0.4355729), (186, 0.4296522), (507, 0.41700733), (146, 0.40532595), (229, 0.37976775), (184, 0.37255192), (174, 0.3710611), (21, 0.35326475), (366, 0.33153978), (239, 0.29437003), (212, 0.25206357), (878, 0.25162813), (518, 0.24837561), (20, 0.22938506), (477, 0.2221556)]","[285, 99, 95, 306, 88, 10, 186, 507, 146, 229, 184, 174, 21, 366, 239, 212, 878, 518, 20, 477]",20,"[355, 353, 270, 259, 357, 326, 356, 358, 328, 293, 323, 257, 287, 359, 361, 360, 263, 327, 300, 49]",3,"[209, 299, 302]"
"[(285, 0.729064), (99, 0.6445385), (95, 0.61262363), (306, 0.49319988), (88, 0.4815013), (186, 0.44689125), (10, 0.4434207), (229, 0.43233293), (146, 0.424557), (507, 0.42311412), (184, 0.39472452), (21, 0.39264598), (174, 0.37005585), (239, 0.29048502), (878, 0.27460235), (212, 0.26552), (366, 0.26414794), (518, 0.2342617), (20, 0.22546463), (149, 0.22012468)]","[285, 99, 95, 306, 88, 186, 10, 229, 146, 507, 184, 21, 174, 239, 878, 212, 366, 518, 20, 149]",20,"[299, 357, 259, 353, 328, 263, 257, 302, 358, 355, 49, 209, 327, 300, 270, 360, 293, 287, 359, 326]",3,"[323, 356, 361]"
"[(285, 0.56051385), (99, 0.5518841), (95, 0.40973312), (306, 0.26875708), (88, 0.24550669), (146, 0.22599746), (10, 0.22145282), (186, 0.20466986), (507, 0.18660693), (21, 0.18220733), (174, 0.17993127), (229, 0.17643079), (184, 0.15460299), (366, 0.15090783), (239, 0.12881331), (212, 0.107700296), (878, 0.09642059), (518, 0.09262937), (149, 0.087569095), (477, 0.08733535)]","[285, 99, 95, 306, 88, 146, 10, 186, 507, 21, 174, 229, 184, 366, 239, 212, 878, 518, 149, 477]",9,"[257, 359, 287, 263, 357, 358, 323, 299, 259]",14,"[326, 327, 328, 270, 209, 353, 355, 356, 293, 360, 361, 300, 302, 49]"
"[(285, 0.6801593), (99, 0.66501105), (95, 0.5755056), (306, 0.44326618), (88, 0.44117683), (146, 0.39261717), (174, 0.3621934), (507, 0.3568637), (229, 0.3479812), (186, 0.34464973), (10, 0.343522), (184, 0.3381756), (21, 0.33407688), (366, 0.2633559), (239, 0.24012972), (212, 0.21226187), (878, 0.20164804), (518, 0.19094507), (477, 0.1803641), (149, 0.17937799)]","[285, 99, 95, 306, 88, 146, 174, 507, 229, 186, 10, 184, 21, 366, 239, 212, 878, 518, 477, 149]",15,"[327, 287, 299, 353, 259, 359, 257, 293, 209, 328, 300, 302, 263, 361, 358]",8,"[323, 326, 270, 355, 356, 357, 360, 49]"
"[(285, 0.5105492), (99, 0.44338113), (95, 0.37466592), (306, 0.20388205), (186, 0.19502659), (88, 0.19167079), (229, 0.18217222), (146, 0.17331202), (10, 0.1651593), (507, 0.15471955), (174, 0.15372354), (21, 0.1534964), (184, 0.14587368), (366, 0.11220628), (239, 0.09555441), (212, 0.080387846), (878, 0.07673797), (518, 0.07477222), (477, 0.07432124), (20, 0.07060724)]","[285, 99, 95, 306, 186, 88, 229, 146, 10, 507, 174, 21, 184, 366, 239, 212, 878, 518, 477, 20]",7,"[209, 293, 270, 49, 302, 360, 257]",16,"[259, 323, 326, 263, 327, 328, 287, 353, 355, 356, 357, 358, 359, 361, 299, 300]"
"[(285, 0.65939564), (99, 0.5757285), (95, 0.5443987), (306, 0.38492277), (10, 0.37276724), (186, 0.37154922), (507, 0.33419472), (174, 0.33014196), (21, 0.31727198), (146, 0.31391478), (184, 0.30773896), (88, 0.29887062), (229, 0.29705465), (366, 0.22990832), (239, 0.21491183), (878, 0.19864729), (518, 0.18086721), (477, 0.17071661), (20, 0.16833429), (212, 0.16620815)]","[285, 99, 95, 306, 10, 186, 507, 174, 21, 146, 184, 88, 229, 366, 239, 878, 518, 477, 20, 212]",15,"[287, 49, 300, 270, 328, 361, 358, 360, 302, 257, 327, 209, 359, 355, 326]",8,"[259, 323, 263, 353, 356, 293, 357, 299]"
"[(285, 0.6529001), (99, 0.62869716), (95, 0.50035304), (88, 0.34826165), (306, 0.34384748), (186, 0.30336478), (10, 0.29973996), (229, 0.28418747), (507, 0.27274272), (146, 0.26183775), (174, 0.2510241), (184, 0.23395208), (21, 0.22615461), (239, 0.18109229), (366, 0.1517455), (878, 0.14968047), (212, 0.1495185), (518, 0.13697506), (20, 0.13186505), (149, 0.1254996)]","[285, 99, 95, 88, 306, 186, 10, 229, 507, 146, 174, 184, 21, 239, 366, 878, 212, 518, 20, 149]",14,"[355, 302, 299, 287, 263, 353, 360, 357, 257, 209, 327, 356, 293, 359]",9,"[259, 323, 326, 328, 270, 358, 361, 300, 49]"
"[(99, 0.6846094), (285, 0.6713152), (95, 0.59028435), (306, 0.4464658), (88, 0.43779165), (10, 0.42530325), (229, 0.41002208), (186, 0.39502943), (507, 0.3912651), (174, 0.3795536), (21, 0.37588844), (146, 0.32832164), (366, 0.30534807), (239, 0.28361344), (184, 0.26307926), (878, 0.2391346), (518, 0.23319922), (212, 0.23011902), (477, 0.21821411), (149, 0.21075922)]","[99, 285, 95, 306, 88, 10, 229, 186, 507, 174, 21, 146, 366, 239, 184, 878, 518, 212, 477, 149]",19,"[326, 287, 361, 300, 328, 299, 323, 360, 353, 356, 270, 293, 259, 302, 359, 263, 257, 358, 355]",4,"[327, 209, 357, 49]"
"[(285, 0.67120945), (99, 0.6192106), (95, 0.5699185), (306, 0.44746506), (88, 0.37410784), (229, 0.3635096), (10, 0.353544), (174, 0.34887043), (146, 0.3415957), (507, 0.34065345), (21, 0.33466685), (186, 0.3218884), (184, 0.2940465), (366, 0.24805762), (239, 0.23281667), (878, 0.20381235), (212, 0.18937327), (518, 0.18528847), (20, 0.17857964), (149, 0.17327692)]","[285, 99, 95, 306, 88, 229, 10, 174, 146, 507, 21, 186, 184, 366, 239, 878, 212, 518, 20, 149]",17,"[287, 327, 356, 259, 300, 257, 302, 293, 361, 326, 358, 359, 323, 263, 353, 360, 357]",6,"[328, 270, 209, 355, 299, 49]"
"[(285, 0.72024), (99, 0.7112682), (95, 0.59979475), (88, 0.48514202), (306, 0.481392), (146, 0.43933472), (10, 0.42826483), (229, 0.4213367), (186, 0.4058871), (507, 0.39170358), (21, 0.38729376), (174, 0.37330836), (184, 0.35408407), (366, 0.33416602), (239, 0.29931393), (212, 0.25635347), (878, 0.25305256), (518, 0.24752359), (477, 0.22413804), (20, 0.21632327)]","[285, 99, 95, 88, 306, 146, 10, 229, 186, 507, 21, 174, 184, 366, 239, 212, 878, 518, 477, 20]",19,"[257, 259, 326, 361, 287, 328, 302, 357, 299, 300, 263, 327, 323, 293, 358, 359, 360, 209, 355]",4,"[270, 353, 356, 49]"
