perturbed_top_10,perturbed_rank,keep_len,keep_index,masked_len,masked_index,top1_change,Top5_Jaccard,Top5_Rbo,Top5_ShiftRank,Top10_Jaccard,Top10_Rbo,Top10_ShiftRank,Top20_Jaccard,Top20_Rbo,Top20_ShiftRank
"[(185, 0.82847285), (273, 0.8177577), (181, 0.81649846), (346, 0.71497107), (442, 0.7045144), (140, 0.70323104), (927, 0.34066674), (955, 0.27512944), (660, 0.2612733), (489, 0.25956932), (142, 0.24816328), (764, 0.21109234), (624, 0.18316254), (232, 0.17603159), (1043, 0.16416417), (77, 0.14394468), (155, 0.1021265), (111, 0.09943778), (1222, 0.09222454), (1132, 0.07748605)]","[185, 273, 181, 346, 442, 140, 927, 955, 660, 489, 142, 764, 624, 232, 1043, 77, 155, 111, 1222, 1132]",111,"[240, 714, 316, 110, 210, 97, 659, 645, 37, 744, 706, 651, 134, 576, 749, 50, 548, 189, 735, 55, 572, 750, 202, 227, 175, 381, 237, 193, 68, 733, 299, 69, 82, 723, 366, 430, 739, 662, 120, 731, 429, 720, 46, 317, 745, 428, 715, 203, 190, 24, 276, 258, 7, 214, 560, 724, 290, 424, 727, 454, 404, 743, 21, 221, 87, 172, 228, 289, 716, 14, 364, 236, 722, 238, 413, 257, 356, 179, 579, 661, 746, 53, 728, 41, 184, 124, 8, 742, 215, 557, 736, 543, 691, 56, 400, 355, 740, 119, 434, 712, 741, 385, 212, 38, 267, 507, 401, 394, 516, 285, 99]",69,"[520, 10, 11, 523, 525, 526, 23, 27, 28, 39, 51, 57, 78, 596, 85, 89, 602, 730, 93, 96, 732, 106, 108, 109, 122, 653, 658, 167, 174, 689, 698, 195, 709, 713, 207, 717, 718, 719, 721, 725, 726, 729, 226, 229, 734, 737, 738, 747, 748, 751, 259, 300, 311, 323, 331, 349, 369, 371, 382, 392, 398, 422, 426, 427, 432, 433, 448, 450, 503]",0,0.42857142857142855,0.7033333333333334,0,0.25,0.5664682539682541,0,0.3793103448275862,0.5616948945876964,0
"[(185, 0.45931518), (181, 0.39084545), (273, 0.38718557), (442, 0.34111074), (346, 0.3000806), (140, 0.25622424), (232, 0.14289385), (1043, 0.0827506), (955, 0.075929515), (764, 0.06844448), (624, 0.065522596), (660, 0.0634378), (927, 0.051914893), (489, 0.048381187), (142, 0.037338473), (111, 0.033355504), (604, 0.024232931), (218, 0.022533135), (457, 0.01597463), (1073, 0.015103076)]","[185, 181, 273, 442, 346, 140, 232, 1043, 955, 764, 624, 660, 927, 489, 142, 111, 604, 218, 457, 1073]",66,"[96, 69, 37, 424, 21, 106, 430, 259, 720, 311, 725, 238, 706, 381, 289, 89, 728, 221, 179, 401, 729, 740, 285, 731, 85, 300, 258, 87, 713, 267, 404, 366, 108, 56, 723, 742, 369, 576, 560, 356, 175, 68, 721, 46, 602, 8, 257, 413, 212, 202, 400, 658, 317, 715, 210, 385, 716, 276, 689, 426, 364, 750, 203, 516, 371, 741]",114,"[7, 520, 10, 11, 523, 525, 14, 526, 23, 24, 27, 28, 543, 548, 38, 39, 41, 557, 50, 51, 53, 55, 57, 572, 579, 78, 82, 596, 730, 93, 97, 99, 732, 109, 110, 119, 120, 122, 124, 645, 134, 739, 651, 653, 659, 661, 662, 743, 167, 172, 174, 691, 184, 698, 189, 190, 193, 195, 709, 712, 714, 207, 717, 718, 719, 214, 215, 722, 724, 726, 727, 226, 227, 228, 229, 733, 734, 735, 736, 737, 738, 236, 237, 240, 744, 745, 746, 747, 748, 749, 751, 290, 299, 316, 323, 331, 349, 355, 382, 392, 394, 398, 422, 427, 428, 429, 432, 433, 434, 448, 450, 454, 503, 507]",0,0.42857142857142855,0.8033333333333333,0,0.25,0.616468253968254,0,0.42857142857142855,0.5739701683335583,0
"[(185, 0.08809581), (273, 0.08520713), (181, 0.08126803), (442, 0.048366796), (346, 0.04551144), (140, 0.03360855), (489, 0.0129820015), (142, 0.010920386), (232, 0.008463783), (955, 0.008163203), (624, 0.007879554), (764, 0.007841386), (1043, 0.0077608074), (660, 0.007742155), (927, 0.006809073), (159, 0.0037599728), (161, 0.00356532), (111, 0.003443796), (606, 0.0034121252), (1202, 0.0033404292)]","[185, 273, 181, 442, 346, 140, 489, 142, 232, 955, 624, 764, 1043, 660, 927, 159, 161, 111, 606, 1202]",10,"[725, 276, 85, 51, 744, 401, 122, 385, 175, 257]",170,"[516, 7, 8, 520, 10, 11, 523, 525, 14, 526, 21, 23, 24, 27, 28, 543, 548, 37, 38, 39, 41, 557, 46, 560, 50, 53, 55, 56, 57, 572, 576, 579, 68, 69, 78, 82, 596, 87, 89, 602, 730, 93, 731, 96, 97, 99, 732, 106, 108, 109, 110, 119, 120, 124, 645, 134, 739, 651, 740, 653, 741, 658, 659, 661, 662, 743, 167, 172, 174, 689, 179, 691, 184, 698, 189, 190, 193, 706, 195, 709, 712, 713, 202, 203, 714, 715, 716, 207, 717, 718, 210, 719, 212, 720, 214, 215, 721, 722, 723, 724, 221, 726, 727, 728, 729, 226, 227, 228, 229, 733, 734, 735, 736, 737, 738, 236, 237, 238, 742, 240, 745, 746, 747, 748, 749, 750, 751, 258, 259, 267, 285, 289, 290, 299, 300, 311, 316, 317, 323, 331, 349, 355, 356, 364, 366, 369, 371, 381, 382, 392, 394, 398, 400, 404, 413, 422, 424, 426, 427, 428, 429, 430, 432, 433, 434, 448, 450, 454, 503, 507]",0,0.42857142857142855,0.7033333333333334,0,0.3333333333333333,0.6000793650793651,0,0.3793103448275862,0.5739960707936714,0
"[(181, 0.85825443), (273, 0.8547108), (185, 0.8502334), (442, 0.7887955), (346, 0.77895176), (140, 0.7235185), (624, 0.54609406), (232, 0.512375), (660, 0.48387322), (955, 0.4634075), (1043, 0.39858004), (489, 0.37308502), (142, 0.36585522), (927, 0.33462554), (764, 0.327486), (111, 0.2085749), (457, 0.18362337), (1073, 0.15772995), (942, 0.120225444), (218, 0.11925247)]","[181, 273, 185, 442, 346, 140, 624, 232, 660, 955, 1043, 489, 142, 927, 764, 111, 457, 1073, 942, 218]",166,"[730, 732, 228, 662, 503, 404, 11, 311, 85, 392, 745, 722, 23, 207, 706, 507, 316, 109, 523, 257, 56, 713, 525, 210, 557, 184, 285, 424, 134, 724, 716, 106, 190, 719, 24, 174, 323, 698, 289, 175, 728, 426, 214, 50, 720, 227, 454, 203, 744, 290, 300, 543, 394, 167, 41, 89, 434, 661, 87, 742, 179, 422, 212, 93, 276, 427, 653, 381, 401, 747, 560, 651, 221, 709, 413, 726, 579, 51, 717, 57, 99, 267, 14, 749, 548, 38, 78, 428, 448, 689, 735, 714, 37, 740, 658, 369, 108, 355, 189, 748, 596, 237, 258, 750, 349, 97, 602, 371, 723, 526, 120, 712, 516, 718, 433, 733, 229, 734, 299, 96, 202, 317, 53, 110, 715, 172, 69, 659, 238, 400, 7, 195, 743, 746, 240, 691, 8, 741, 737, 27, 124, 432, 331, 738, 21, 236, 226, 727, 119, 429, 366, 68, 731, 430, 46, 364, 122, 215, 520, 39, 576, 736, 356, 259, 398, 82]",14,"[10, 28, 55, 572, 645, 739, 193, 721, 725, 729, 751, 382, 385, 450]",1,0.42857142857142855,0.5033333333333333,2,0.25,0.466468253968254,2,0.42857142857142855,0.5063877507511407,2
"[(181, 0.7706037), (273, 0.76566535), (185, 0.7647823), (442, 0.72869545), (346, 0.6938583), (140, 0.6575656), (232, 0.41209123), (624, 0.41107675), (764, 0.33705622), (660, 0.32267946), (489, 0.28235587), (1043, 0.2785157), (927, 0.27007276), (955, 0.26114488), (142, 0.2592008), (218, 0.17464846), (159, 0.16972081), (111, 0.1573464), (570, 0.12972528), (1073, 0.11701913)]","[181, 273, 185, 442, 346, 140, 232, 624, 764, 660, 489, 1043, 927, 955, 142, 218, 159, 111, 570, 1073]",120,"[215, 427, 236, 69, 728, 392, 226, 450, 229, 741, 525, 106, 662, 404, 651, 430, 124, 175, 689, 38, 41, 742, 748, 739, 57, 385, 413, 267, 238, 503, 109, 356, 174, 548, 526, 228, 289, 722, 715, 93, 718, 97, 434, 257, 51, 661, 317, 21, 713, 108, 214, 119, 382, 172, 429, 751, 658, 366, 46, 729, 432, 737, 401, 507, 422, 227, 560, 189, 258, 193, 714, 727, 747, 371, 724, 110, 691, 653, 349, 725, 99, 448, 120, 11, 195, 433, 424, 85, 8, 89, 259, 732, 39, 82, 723, 735, 381, 523, 721, 400, 716, 311, 744, 202, 428, 745, 207, 572, 520, 184, 712, 276, 285, 237, 454, 426, 720, 50, 53, 596]",60,"[516, 7, 10, 14, 23, 24, 27, 28, 543, 37, 557, 55, 56, 576, 579, 68, 78, 87, 602, 730, 731, 96, 122, 645, 134, 740, 659, 743, 167, 179, 698, 190, 706, 709, 203, 717, 210, 719, 212, 221, 726, 733, 734, 736, 738, 240, 746, 749, 750, 290, 299, 300, 316, 323, 331, 355, 364, 369, 394, 398]",1,0.42857142857142855,0.5033333333333333,2,0.25,0.466468253968254,2,0.42857142857142855,0.5050363448041465,2
"[(181, 0.19037792), (185, 0.18887034), (273, 0.16875638), (140, 0.12168848), (442, 0.11197905), (346, 0.09234774), (955, 0.029079068), (142, 0.018218467), (927, 0.016408911), (660, 0.01618606), (1043, 0.015337454), (624, 0.014274807), (764, 0.014099879), (489, 0.013258114), (232, 0.010569825), (218, 0.009101571), (155, 0.007851638), (111, 0.0073626153), (457, 0.005692891), (1196, 0.005651019)]","[181, 185, 273, 140, 442, 346, 955, 142, 927, 660, 1043, 624, 764, 489, 232, 218, 155, 111, 457, 1196]",15,"[747, 422, 520, 122, 299, 28, 392, 717, 41, 8, 11, 450, 735, 119, 745]",165,"[516, 7, 10, 523, 525, 14, 526, 21, 23, 24, 27, 543, 548, 37, 38, 39, 557, 46, 560, 50, 51, 53, 55, 56, 57, 572, 576, 579, 68, 69, 78, 82, 596, 85, 87, 89, 602, 730, 93, 731, 96, 97, 99, 732, 106, 108, 109, 110, 120, 124, 645, 134, 739, 651, 740, 653, 741, 658, 659, 661, 662, 743, 167, 172, 174, 175, 689, 179, 691, 184, 698, 189, 190, 193, 706, 195, 709, 712, 713, 202, 203, 714, 715, 716, 207, 718, 210, 719, 212, 720, 214, 215, 721, 722, 723, 724, 725, 221, 726, 727, 728, 729, 226, 227, 228, 229, 733, 734, 736, 737, 738, 236, 237, 238, 742, 240, 744, 746, 748, 749, 750, 751, 257, 258, 259, 267, 276, 285, 289, 290, 300, 311, 316, 317, 323, 331, 349, 355, 356, 364, 366, 369, 371, 381, 382, 385, 394, 398, 400, 401, 404, 413, 424, 426, 427, 428, 429, 430, 432, 433, 434, 448, 454, 503, 507]",1,0.42857142857142855,0.6033333333333333,1,0.3333333333333333,0.550079365079365,1,0.42857142857142855,0.5639045547675577,1
"[(185, 0.4959663), (181, 0.46911818), (273, 0.4625301), (442, 0.3940597), (346, 0.3390571), (140, 0.3152872), (764, 0.09638038), (660, 0.0955068), (142, 0.09455892), (624, 0.0872332), (232, 0.07801488), (955, 0.06926929), (489, 0.055527013), (1043, 0.042813264), (927, 0.040204734), (499, 0.03240716), (1119, 0.027678797), (1132, 0.02622601), (111, 0.02041097), (218, 0.01775707)]","[185, 181, 273, 442, 346, 140, 764, 660, 142, 624, 232, 955, 489, 1043, 927, 499, 1119, 1132, 111, 218]",51,"[745, 709, 87, 747, 381, 413, 661, 740, 285, 69, 433, 735, 258, 718, 746, 727, 719, 428, 356, 82, 398, 520, 85, 651, 119, 51, 78, 429, 96, 729, 732, 744, 179, 106, 11, 56, 503, 68, 364, 212, 259, 743, 385, 23, 543, 7, 689, 691, 193, 57, 257]",129,"[516, 8, 10, 523, 525, 14, 526, 21, 24, 27, 28, 548, 37, 38, 39, 41, 557, 46, 560, 50, 53, 55, 572, 576, 579, 596, 89, 602, 730, 93, 731, 97, 99, 108, 109, 110, 120, 122, 124, 645, 134, 739, 653, 741, 658, 659, 662, 167, 172, 174, 175, 184, 698, 189, 190, 706, 195, 712, 713, 202, 203, 714, 715, 716, 207, 717, 210, 720, 214, 215, 721, 722, 723, 724, 725, 221, 726, 728, 226, 227, 228, 229, 733, 734, 736, 737, 738, 236, 237, 238, 742, 240, 748, 749, 750, 751, 267, 276, 289, 290, 299, 300, 311, 316, 317, 323, 331, 349, 355, 366, 369, 371, 382, 392, 394, 400, 401, 404, 422, 424, 426, 427, 430, 432, 434, 448, 450, 454, 507]",0,0.42857142857142855,0.8033333333333333,0,0.3333333333333333,0.6375793650793651,0,0.3793103448275862,0.5927460707936715,0
"[(273, 0.82026845), (185, 0.8117182), (181, 0.8008492), (442, 0.7378524), (346, 0.705929), (140, 0.67132777), (660, 0.4332255), (624, 0.41491094), (489, 0.38607633), (955, 0.34609216), (232, 0.3291462), (927, 0.31263548), (1043, 0.29520953), (142, 0.2576091), (764, 0.23437516), (155, 0.16926879), (1222, 0.1667784), (111, 0.16382456), (1119, 0.14837754), (604, 0.139637)]","[273, 185, 181, 442, 346, 140, 660, 624, 489, 955, 232, 927, 1043, 142, 764, 155, 1222, 111, 1119, 604]",150,"[557, 190, 300, 448, 290, 392, 653, 689, 724, 394, 744, 285, 221, 51, 258, 236, 299, 400, 21, 8, 259, 739, 735, 742, 195, 227, 658, 226, 433, 174, 398, 602, 713, 651, 661, 750, 645, 316, 82, 401, 96, 46, 189, 184, 716, 427, 413, 706, 432, 119, 289, 99, 39, 434, 503, 56, 110, 109, 426, 237, 28, 23, 167, 214, 10, 748, 175, 172, 725, 733, 38, 745, 385, 349, 727, 560, 662, 543, 50, 238, 714, 202, 715, 720, 712, 723, 134, 276, 709, 430, 68, 41, 749, 737, 108, 738, 659, 722, 229, 27, 37, 751, 576, 429, 740, 507, 203, 331, 450, 523, 526, 579, 721, 732, 55, 69, 743, 520, 736, 717, 179, 746, 741, 356, 381, 212, 364, 454, 366, 97, 719, 11, 734, 428, 548, 7, 323, 89, 215, 257, 317, 729, 122, 424, 210, 730, 728, 422, 124, 228]",30,"[516, 525, 14, 24, 53, 57, 572, 78, 596, 85, 87, 93, 731, 106, 120, 691, 698, 193, 207, 718, 726, 240, 747, 267, 311, 355, 369, 371, 382, 404]",1,0.42857142857142855,0.5033333333333333,1,0.25,0.466468253968254,1,0.3793103448275862,0.5061077733755752,1
"[(185, 0.42052048), (181, 0.3864479), (273, 0.35264537), (442, 0.33543542), (346, 0.22431213), (140, 0.21849762), (142, 0.11001393), (489, 0.05744688), (927, 0.042584993), (624, 0.038567226), (955, 0.03839132), (660, 0.036275387), (1043, 0.026823878), (232, 0.026651176), (764, 0.022034647), (218, 0.020136978), (111, 0.013675018), (606, 0.012706169), (499, 0.012060225), (155, 0.011255302)]","[185, 181, 273, 442, 346, 140, 142, 489, 927, 624, 955, 660, 1043, 232, 764, 218, 111, 606, 499, 155]",37,"[735, 257, 721, 731, 24, 366, 712, 87, 28, 742, 739, 709, 516, 57, 400, 722, 96, 364, 300, 317, 727, 97, 331, 736, 422, 299, 381, 382, 184, 53, 430, 579, 662, 716, 109, 698, 190]",143,"[7, 8, 520, 10, 11, 523, 525, 14, 526, 21, 23, 27, 543, 548, 37, 38, 39, 41, 557, 46, 560, 50, 51, 55, 56, 572, 576, 68, 69, 78, 82, 596, 85, 89, 602, 730, 93, 99, 732, 106, 108, 110, 119, 120, 122, 124, 645, 134, 651, 740, 653, 741, 658, 659, 661, 743, 167, 172, 174, 175, 689, 179, 691, 189, 193, 706, 195, 713, 202, 203, 714, 715, 207, 717, 718, 210, 719, 212, 720, 214, 215, 723, 724, 725, 221, 726, 728, 729, 226, 227, 228, 229, 733, 734, 737, 738, 236, 237, 238, 240, 744, 745, 746, 747, 748, 749, 750, 751, 258, 259, 267, 276, 285, 289, 290, 311, 316, 323, 349, 355, 356, 369, 371, 385, 392, 394, 398, 401, 404, 413, 424, 426, 427, 428, 429, 432, 433, 434, 448, 450, 454, 503, 507]",0,0.42857142857142855,0.8033333333333333,0,0.3333333333333333,0.6643650793650794,0,0.42857142857142855,0.616268307286109,0
"[(273, 0.7827598), (185, 0.76333517), (181, 0.75857836), (442, 0.67767423), (346, 0.6663106), (140, 0.6060226), (489, 0.30872712), (624, 0.27359954), (955, 0.26397067), (232, 0.25662872), (660, 0.24139363), (927, 0.23854846), (1043, 0.22133857), (764, 0.20155442), (142, 0.19802298), (606, 0.122453734), (218, 0.095390745), (111, 0.08375605), (841, 0.07064055), (1073, 0.068666525)]","[273, 185, 181, 442, 346, 140, 489, 624, 955, 232, 660, 927, 1043, 764, 142, 606, 218, 111, 841, 1073]",125,"[525, 82, 276, 725, 289, 736, 382, 733, 210, 50, 748, 433, 299, 741, 87, 14, 715, 724, 401, 739, 432, 371, 236, 572, 661, 749, 454, 364, 548, 434, 221, 722, 349, 381, 742, 110, 167, 78, 21, 108, 714, 698, 520, 689, 523, 712, 579, 713, 653, 56, 507, 214, 744, 69, 120, 172, 427, 385, 316, 602, 729, 424, 745, 96, 99, 24, 55, 709, 369, 747, 28, 662, 134, 237, 723, 448, 355, 212, 706, 430, 560, 398, 203, 184, 503, 109, 85, 317, 400, 215, 659, 207, 743, 732, 89, 576, 46, 727, 404, 179, 726, 228, 195, 751, 543, 720, 731, 422, 41, 719, 257, 227, 175, 718, 259, 392, 735, 106, 190, 740, 750, 37, 193, 331, 658]",55,"[516, 7, 8, 10, 11, 526, 23, 27, 38, 39, 557, 51, 53, 57, 68, 596, 730, 93, 97, 119, 122, 124, 645, 651, 174, 691, 189, 202, 716, 717, 721, 728, 226, 229, 734, 737, 738, 238, 240, 746, 258, 267, 285, 290, 300, 311, 323, 356, 366, 394, 413, 426, 428, 429, 450]",1,0.42857142857142855,0.5033333333333333,1,0.25,0.466468253968254,1,0.42857142857142855,0.5019113448041466,1
