user_id_hasCF,true_shift_rank,top5_index,top5_with_score
100,10,"[404, 317, 131, 268, 81]","[(404, 0.68568236), (317, 0.64475536), (131, 0.62401086), (268, 0.5881928), (81, 0.5847513)]"
101,10,"[131, 322, 22, 273, 1015]","[(131, 0.6375773), (322, 0.50888366), (22, 0.49537915), (273, 0.46351334), (1015, 0.44808528)]"
103,10,"[175, 152, 392, 186, 195]","[(175, 0.6218557), (152, 0.5521955), (392, 0.5381909), (186, 0.5345122), (195, 0.53345215)]"
105,10,"[55, 299, 312, 474, 545]","[(55, 0.78993833), (299, 0.64853567), (312, 0.6093054), (474, 0.5681027), (545, 0.51458764)]"
107,10,"[120, 203, 21, 1027, 70]","[(120, 0.8093439), (203, 0.6359127), (21, 0.54577535), (1027, 0.5151664), (70, 0.461866)]"
110,10,"[99, 337, 14, 895, 329]","[(99, 0.6863648), (337, 0.67190367), (14, 0.50256723), (895, 0.46969962), (329, 0.37919116)]"
111,10,"[258, 291, 897, 245, 286]","[(258, 0.81642574), (291, 0.7842869), (897, 0.70113283), (245, 0.527988), (286, 0.47949752)]"
112,10,"[124, 13, 12, 269, 117]","[(124, 0.8526645), (13, 0.8150944), (12, 0.7942561), (269, 0.75826526), (117, 0.71105975)]"
113,10,"[179, 68, 11, 1064, 630]","[(179, 0.8473564), (68, 0.7961347), (11, 0.76792216), (1064, 0.5474594), (630, 0.51701)]"
116,10,"[249, 244, 819, 233, 227]","[(249, 0.7655259), (244, 0.66305447), (819, 0.64367807), (233, 0.62910384), (227, 0.6219952)]"
117,10,"[434, 567, 630, 461, 528]","[(434, 0.7968714), (567, 0.74118763), (630, 0.6749122), (461, 0.6286414), (528, 0.6018059)]"
118,10,"[1046, 97, 78, 1047, 68]","[(1046, 0.6905092), (97, 0.6560713), (78, 0.6481294), (1047, 0.53333354), (68, 0.5291897)]"
119,10,"[249, 545, 927, 128, 21]","[(249, 0.75533646), (545, 0.64426863), (927, 0.47664443), (128, 0.4618502), (21, 0.45074734)]"
120,10,"[6, 181, 470, 271, 844]","[(6, 0.78999054), (181, 0.775842), (470, 0.7113197), (271, 0.6921523), (844, 0.6462692)]"
123,10,"[69, 567, 30, 110, 176]","[(69, 0.8191162), (567, 0.76263887), (30, 0.7269809), (110, 0.7036943), (176, 0.6747013)]"
124,10,"[264, 176, 70, 61, 216]","[(264, 0.7374821), (176, 0.67326903), (70, 0.6463317), (61, 0.5139324), (216, 0.5083062)]"
125,10,"[269, 241, 894, 338, 877]","[(269, 0.80341893), (241, 0.7585337), (894, 0.6576118), (338, 0.54702115), (877, 0.49177313)]"
127,10,"[95, 143, 202, 520, 510]","[(95, 0.8577744), (143, 0.77520025), (202, 0.7568832), (520, 0.6374661), (510, 0.632314)]"
128,10,"[95, 143, 202, 520, 510]","[(95, 0.8577744), (143, 0.77520025), (202, 0.7568832), (520, 0.6374661), (510, 0.632314)]"
129,10,"[925, 317, 185, 923, 743]","[(925, 0.78981876), (317, 0.7613084), (185, 0.6946362), (923, 0.6547245), (743, 0.5552765)]"
130,10,"[925, 317, 185, 923, 743]","[(925, 0.78981876), (317, 0.7613084), (185, 0.6946362), (923, 0.6547245), (743, 0.5552765)]"
131,10,"[257, 196, 221, 88, 460]","[(257, 0.7502251), (196, 0.63249797), (221, 0.5381973), (88, 0.52099955), (460, 0.40173486)]"
133,10,"[321, 49, 879, 885, 6]","[(321, 0.8694123), (49, 0.6413797), (879, 0.5413115), (885, 0.5251179), (6, 0.47262883)]"
134,10,"[68, 81, 558, 185, 181]","[(68, 0.7054732), (81, 0.6979425), (558, 0.66389155), (185, 0.65007305), (181, 0.627775)]"
135,10,"[150, 292, 741, 172, 234]","[(150, 0.8198481), (292, 0.58841413), (741, 0.4948988), (172, 0.49227417), (234, 0.47590807)]"
136,10,"[150, 292, 741, 172, 234]","[(150, 0.8198481), (292, 0.58841413), (741, 0.4948988), (172, 0.49227417), (234, 0.47590807)]"
137,10,"[196, 190, 510, 422, 182]","[(196, 0.81269574), (190, 0.80512416), (510, 0.75530106), (422, 0.7378112), (182, 0.7307291)]"
139,10,"[196, 190, 510, 422, 182]","[(196, 0.81269574), (190, 0.80512416), (510, 0.75530106), (422, 0.7378112), (182, 0.7307291)]"
141,10,"[196, 190, 510, 422, 182]","[(196, 0.81269574), (190, 0.80512416), (510, 0.75530106), (422, 0.7378112), (182, 0.7307291)]"
144,10,"[196, 190, 510, 422, 182]","[(196, 0.81269574), (190, 0.80512416), (510, 0.75530106), (422, 0.7378112), (182, 0.7307291)]"
145,10,"[196, 190, 510, 422, 182]","[(196, 0.81269574), (190, 0.80512416), (510, 0.75530106), (422, 0.7378112), (182, 0.7307291)]"
146,10,"[196, 190, 510, 422, 182]","[(196, 0.81269574), (190, 0.80512416), (510, 0.75530106), (422, 0.7378112), (182, 0.7307291)]"
147,10,"[120, 179, 257, 182, 256]","[(120, 0.75467026), (179, 0.72432953), (257, 0.69475824), (182, 0.6187382), (256, 0.5600524)]"
148,10,"[120, 179, 257, 182, 256]","[(120, 0.75467026), (179, 0.72432953), (257, 0.69475824), (182, 0.6187382), (256, 0.5600524)]"
151,10,"[120, 179, 257, 182, 256]","[(120, 0.75467026), (179, 0.72432953), (257, 0.69475824), (182, 0.6187382), (256, 0.5600524)]"
152,10,"[120, 179, 257, 182, 256]","[(120, 0.75467026), (179, 0.72432953), (257, 0.69475824), (182, 0.6187382), (256, 0.5600524)]"
153,10,"[120, 179, 257, 182, 256]","[(120, 0.75467026), (179, 0.72432953), (257, 0.69475824), (182, 0.6187382), (256, 0.5600524)]"
154,10,"[120, 179, 257, 182, 256]","[(120, 0.75467026), (179, 0.72432953), (257, 0.69475824), (182, 0.6187382), (256, 0.5600524)]"
155,10,"[173, 180, 236, 174, 21]","[(173, 0.87354225), (180, 0.8278237), (236, 0.7820668), (174, 0.7319262), (21, 0.69675183)]"
156,10,"[173, 180, 236, 174, 21]","[(173, 0.87354225), (180, 0.8278237), (236, 0.7820668), (174, 0.7319262), (21, 0.69675183)]"
160,10,"[173, 180, 236, 174, 21]","[(173, 0.87354225), (180, 0.8278237), (236, 0.7820668), (174, 0.7319262), (21, 0.69675183)]"
161,10,"[281, 471, 475, 247, 992]","[(281, 0.80721843), (471, 0.7972401), (475, 0.66850394), (247, 0.5057691), (992, 0.4982451)]"
164,10,"[281, 471, 475, 247, 992]","[(281, 0.80721843), (471, 0.7972401), (475, 0.66850394), (247, 0.5057691), (992, 0.4982451)]"
165,10,"[281, 471, 475, 247, 992]","[(281, 0.80721843), (471, 0.7972401), (475, 0.66850394), (247, 0.5057691), (992, 0.4982451)]"
166,10,"[281, 471, 475, 247, 992]","[(281, 0.80721843), (471, 0.7972401), (475, 0.66850394), (247, 0.5057691), (992, 0.4982451)]"
167,10,"[236, 750, 894, 239, 121]","[(236, 0.9278899), (750, 0.82948333), (894, 0.77386504), (239, 0.6438665), (121, 0.5147417)]"
169,10,"[236, 750, 894, 239, 121]","[(236, 0.9278899), (750, 0.82948333), (894, 0.77386504), (239, 0.6438665), (121, 0.5147417)]"
174,10,"[27, 7, 587, 120, 293]","[(27, 0.88156366), (7, 0.8102485), (587, 0.7387843), (120, 0.7149079), (293, 0.666934)]"
175,10,"[27, 7, 587, 120, 293]","[(27, 0.88156366), (7, 0.8102485), (587, 0.7387843), (120, 0.7149079), (293, 0.666934)]"
176,10,"[27, 7, 587, 120, 293]","[(27, 0.88156366), (7, 0.8102485), (587, 0.7387843), (120, 0.7149079), (293, 0.666934)]"
177,10,"[27, 7, 587, 120, 293]","[(27, 0.88156366), (7, 0.8102485), (587, 0.7387843), (120, 0.7149079), (293, 0.666934)]"
178,10,"[27, 7, 587, 120, 293]","[(27, 0.88156366), (7, 0.8102485), (587, 0.7387843), (120, 0.7149079), (293, 0.666934)]"
