user_id,num_interactions,top5_has_weights,top5_minCFset_index,top5_minCFset_weight,top5_gap,top5_top10pos_index,top5_top10pos_weights,top5_top10neg_index,top5_top10neg_weights,top5_sum_pos,top5_sum_neg,top10_has_weights,top10_minCFset_index,top10_minCFset_weight,top10_gap,top10_top10pos_index,top10_top10pos_weights,top10_top10neg_index,top10_top10neg_weights,top10_sum_pos,top10_sum_neg,top20_has_weights,top20_minCFset_index,top20_minCFset_weight,top20_gap,top20_top10pos_index,top20_top10pos_weights,top20_top10neg_index,top20_top10neg_weights,top20_sum_pos,top20_sum_neg
0,271,0,-1,-1,0.0,[],[],[],[],0.0,0.0,0,-1,-1,0.0,[],[],[],[],0.0,0.0,0,-1,-1,0.0,[],[],[],[],0.0,0.0
1,61,61,"[13, 3, 22, 7, 24]","[-0.2052164530862619, -0.16378992383172367, -0.15753710599031878, -0.1275420930720318, -0.11867969663949429]",-0.07909622944388106,"[10, 20, 12, 4, 11, 3, 19, 13, 16, 5]","[0.22467864820997496, 0.21406333060879373, 0.19811331641693397, 0.19501404639098335, 0.16588038473446556, 0.15919758629677824, 0.13684685151628698, 0.12064253344904734, 0.11595578593956431, 0.10278807070929956]","[13, 3, 22, 7, 24, 28, 6, 27, 19, 12]","[-0.2052164530862619, -0.16378992383172367, -0.15753710599031878, -0.1275420930720318, -0.11867969663949429, -0.11025598273431718, -0.1021476034459241, -0.10006396193060262, -0.09735711349107329, -0.09675659009471042]",2.4301416732637326,-2.123810716439682,61,"[13, 3, 22, 7, 24]","[-0.2052164530862619, -0.16378992383172367, -0.15753710599031878, -0.1275420930720318, -0.11867969663949429]",-0.07909622944388106,"[10, 20, 12, 4, 11, 3, 19, 13, 16, 5]","[0.22467864820997496, 0.21406333060879373, 0.19811331641693397, 0.19501404639098335, 0.16588038473446556, 0.15919758629677824, 0.13684685151628698, 0.12064253344904734, 0.11595578593956431, 0.10278807070929956]","[13, 3, 22, 7, 24, 28, 6, 27, 19, 12]","[-0.2052164530862619, -0.16378992383172367, -0.15753710599031878, -0.1275420930720318, -0.11867969663949429, -0.11025598273431718, -0.1021476034459241, -0.10006396193060262, -0.09735711349107329, -0.09675659009471042]",2.4301416732637326,-2.123810716439682,61,"[13, 3, 22, 7, 24]","[-0.2052164530862619, -0.16378992383172367, -0.15753710599031878, -0.1275420930720318, -0.11867969663949429]",-0.07909622944388106,"[10, 20, 12, 4, 11, 3, 19, 13, 16, 5]","[0.22467864820997496, 0.21406333060879373, 0.19811331641693397, 0.19501404639098335, 0.16588038473446556, 0.15919758629677824, 0.13684685151628698, 0.12064253344904734, 0.11595578593956431, 0.10278807070929956]","[13, 3, 22, 7, 24, 28, 6, 27, 19, 12]","[-0.2052164530862619, -0.16378992383172367, -0.15753710599031878, -0.1275420930720318, -0.11867969663949429, -0.11025598273431718, -0.1021476034459241, -0.10006396193060262, -0.09735711349107329, -0.09675659009471042]",2.4301416732637326,-2.123810716439682
2,53,53,[18],[-0.3018936463011626],-0.0894271488426695,"[10, 1, 3, 29, 15, 0, 8, 32, 30, 5]","[0.2415579131487559, 0.23895349244407266, 0.19382919184512548, 0.16597818165164374, 0.15955842243033833, 0.1563013131338123, 0.15025831455080427, 0.14261204400030925, 0.13266290469866338, 0.12406326051516016]","[18, 11, 10, 14, 2, 7, 17, 13, 1, 4]","[-0.3018936463011626, -0.226699439086085, -0.18216046148460666, -0.16200703631022062, -0.15313855266985235, -0.13801761036984592, -0.12889924466985075, -0.12432347602237429, -0.12057092957697767, -0.08789636021507573]",2.885074359279461,-2.0975408567379543,53,[18],[-0.3018936463011626],-0.0894271488426695,"[10, 1, 3, 29, 15, 0, 8, 32, 30, 5]","[0.2415579131487559, 0.23895349244407266, 0.19382919184512548, 0.16597818165164374, 0.15955842243033833, 0.1563013131338123, 0.15025831455080427, 0.14261204400030925, 0.13266290469866338, 0.12406326051516016]","[18, 11, 10, 14, 2, 7, 17, 13, 1, 4]","[-0.3018936463011626, -0.226699439086085, -0.18216046148460666, -0.16200703631022062, -0.15313855266985235, -0.13801761036984592, -0.12889924466985075, -0.12432347602237429, -0.12057092957697767, -0.08789636021507573]",2.885074359279461,-2.0975408567379543,53,[18],[-0.3018936463011626],-0.0894271488426695,"[10, 1, 3, 29, 15, 0, 8, 32, 30, 5]","[0.2415579131487559, 0.23895349244407266, 0.19382919184512548, 0.16597818165164374, 0.15955842243033833, 0.1563013131338123, 0.15025831455080427, 0.14261204400030925, 0.13266290469866338, 0.12406326051516016]","[18, 11, 10, 14, 2, 7, 17, 13, 1, 4]","[-0.3018936463011626, -0.226699439086085, -0.18216046148460666, -0.16200703631022062, -0.15313855266985235, -0.13801761036984592, -0.12889924466985075, -0.12432347602237429, -0.12057092957697767, -0.08789636021507573]",2.885074359279461,-2.0975408567379543
3,23,23,"[7, 6, 5, 3, 0, 2, 4, 8, 1]","[-0.10599914964456593, -0.0924604965151769, -0.08635513562574587, -0.06793405858315137, -0.0608727126810801, -0.04540815386655645, -0.03487959166266224, -0.029780020817285542, -0.011228648744770187]",0.3818614774374438,"[0, 13, 10, 3, 6, 8, 4, 1, 11, 7]","[0.09700075154880422, 0.07998695725223814, 0.07003235645345689, 0.06904214653744363, 0.06186431550415019, 0.042903704260435736, 0.03819319945529248, 0.03415812484766748, 0.03364219462641521, 0.03064581139881603]","[7, 6, 5, 3, 0, 2, 4, 8, 1]","[-0.10599914964456593, -0.0924604965151769, -0.08635513562574587, -0.06793405858315137, -0.0608727126810801, -0.04540815386655645, -0.03487959166266224, -0.029780020817285542, -0.011228648744770187]",0.6181385225625562,-0.5349179681409946,23,"[7, 6, 5, 3, 0, 2, 4, 8, 1]","[-0.10599914964456593, -0.0924604965151769, -0.08635513562574587, -0.06793405858315137, -0.0608727126810801, -0.04540815386655645, -0.03487959166266224, -0.029780020817285542, -0.011228648744770187]",0.3818614774374438,"[0, 13, 10, 3, 6, 8, 4, 1, 11, 7]","[0.09700075154880422, 0.07998695725223814, 0.07003235645345689, 0.06904214653744363, 0.06186431550415019, 0.042903704260435736, 0.03819319945529248, 0.03415812484766748, 0.03364219462641521, 0.03064581139881603]","[7, 6, 5, 3, 0, 2, 4, 8, 1]","[-0.10599914964456593, -0.0924604965151769, -0.08635513562574587, -0.06793405858315137, -0.0608727126810801, -0.04540815386655645, -0.03487959166266224, -0.029780020817285542, -0.011228648744770187]",0.6181385225625562,-0.5349179681409946,23,"[7, 6, 5, 3, 0, 2, 4, 8, 1]","[-0.10599914964456593, -0.0924604965151769, -0.08635513562574587, -0.06793405858315137, -0.0608727126810801, -0.04540815386655645, -0.03487959166266224, -0.029780020817285542, -0.011228648744770187]",0.3818614774374438,"[0, 13, 10, 3, 6, 8, 4, 1, 11, 7]","[0.09700075154880422, 0.07998695725223814, 0.07003235645345689, 0.06904214653744363, 0.06186431550415019, 0.042903704260435736, 0.03819319945529248, 0.03415812484766748, 0.03364219462641521, 0.03064581139881603]","[7, 6, 5, 3, 0, 2, 4, 8, 1]","[-0.10599914964456593, -0.0924604965151769, -0.08635513562574587, -0.06793405858315137, -0.0608727126810801, -0.04540815386655645, -0.03487959166266224, -0.029780020817285542, -0.011228648744770187]",0.6181385225625562,-0.5349179681409946
4,174,0,-1,-1,0.0,[],[],[],[],0.0,0.0,174,"[33, 79]","[-1.5615193586246978, -1.4691303348912477]",-0.6790629452738965,"[7, 12, 61, 44, 52, 55, 14, 64, 41, 57]","[2.14520038130144, 1.879353307266983, 1.84884197867242, 1.6862620782163318, 1.5801327323646033, 1.437805520927478, 1.3034192471566655, 1.0952043347406701, 1.093302037788091, 1.0683814587913598]","[33, 79, 78, 14, 68, 35, 80, 69, 44, 55]","[-1.5615193586246978, -1.4691303348912477, -1.4660125198585794, -1.2862945616694126, -1.2154403757547123, -1.1998469518020545, -1.1745762062698146, -1.1670444292825932, -1.1515496760318664, -1.1467476876268534]",45.59972174631715,-46.9513084945592,174,"[30, 79]","[-1.2599230450285266, -1.1969277947239834]",-0.21422160686463831,"[12, 14, 7, 66, 55, 51, 63, 48, 58, 68]","[1.6444956976654719, 1.340136372798603, 1.2734768139823927, 1.1826775493071309, 1.168141649412212, 0.9743810880963083, 0.9258348248195607, 0.9185896986743, 0.897001660918749, 0.8367987893423307]","[30, 79, 58, 69, 32, 8, 80, 21, 31, 67]","[-1.2599230450285266, -1.1969277947239834, -1.0788095487835994, -1.0464017848459781, -1.0247721931158287, -0.973390772832656, -0.9511552360446116, -0.9016332110885489, -0.8927228334079063, -0.8719467108980451]",33.473209827908,-34.71583906079587
5,210,210,"[21, 87]","[-0.709437185284948, -0.6513659320632947]",-0.19805616354605504,"[68, 96, 59, 15, 24, 94, 2, 5, 82, 51]","[1.0608862921602193, 0.9320150345364596, 0.7448633024965945, 0.5912872697149139, 0.5802312082716737, 0.5049023117639658, 0.48676940294953414, 0.474662962240207, 0.47212898001430464, 0.4706420180756447]","[21, 87, 89, 99, 68, 92, 50, 12, 95, 38]","[-0.709437185284948, -0.6513659320632947, -0.6404250062691357, -0.6341939590864726, -0.6147176070169894, -0.5596661538200993, -0.4968830531287739, -0.4883846532546182, -0.479498614566921, -0.468339313469301]",24.07521843704946,-24.23796539085165,210,[45],[-3.106686208212221],-1.5120983790266647,"[60, 84, 83, 102, 4, 51, 32, 97, 93, 67]","[3.173333918426211, 3.0946984588072524, 3.008911186075911, 2.770527158194236, 2.5444388490744974, 2.539734604155691, 2.4748405900739034, 2.422288755147617, 2.3995126880306206, 2.335620625369579]","[45, 83, 77, 69, 42, 9, 58, 63, 12, 41]","[-3.106686208212221, -3.061470313334212, -2.9957701730802313, -2.964934814461818, -2.781966763542309, -2.650189168548001, -2.633667972334956, -2.4762313726722613, -2.266673058227702, -2.2603979068039743]",107.18033810599906,-107.77492593518461,210,[76],[-2.058527542845129],-0.5773713830798237,"[94, 54, 5, 76, 77, 89, 27, 61, 85, 3]","[2.021398956188958, 1.9298770688210167, 1.801265384827615, 1.6454369779651599, 1.615820409962992, 1.588648813581476, 1.5445943289361501, 1.50940225822694, 1.4961449187038485, 1.4556227534097341]","[76, 90, 48, 11, 92, 14, 93, 47, 64, 85]","[-2.058527542845129, -1.919665119284479, -1.6477178455354553, -1.5951528761879505, -1.5432283030236849, -1.512824621278595, -1.4956205652149681, -1.495235165840646, -1.4896243307057764, -1.449127023057199]",67.39117455748426,-67.87233071724957
6,402,402,[21],[-3.518154800654835],-2.728144527855016,"[44, 34, 115, 32, 89, 105, 139, 28, 31, 29]","[1.840629273074982, 1.6412034687811008, 1.5684800219527026, 1.4394197936843685, 1.3567507174851257, 1.316378138472864, 1.2052062541961448, 1.1594571438562578, 1.1258694122231785, 1.0935437540042965]","[21, 123, 104, 185, 157, 56, 117, 55, 40, 42]","[-3.518154800654835, -2.791175732376206, -1.4502035240869966, -1.4331685293510101, -1.4092223303451377, -1.3114677218878223, -1.279656139984048, -1.2786200971725592, -1.2309601630392393, -1.14552624786289]",92.86663226400846,-92.65664253680828,402,[21],[-1.5449205271287232],-0.7048311964216074,"[40, 85, 106, 99, 149, 32, 2, 101, 29, 113]","[1.0599544718162845, 0.9605432960142072, 0.9316418910429836, 0.7217697218966987, 0.686095641815588, 0.6306590521021821, 0.6147575604243325, 0.6035951608187143, 0.5993003252566705, 0.5492481037797071]","[21, 130, 192, 60, 125, 59, 151, 156, 22, 109]","[-1.5449205271287232, -1.3574479205123966, -0.8048739577093071, -0.7307720786537207, -0.712321049883135, -0.6307440764228287, -0.6268565388252821, -0.6102621708915491, -0.6066233422273563, -0.5864255263847542]",49.739183064524845,-49.57927239523196,402,[21],[-1.5449205271287232],-0.7048311964216074,"[40, 85, 106, 99, 149, 32, 2, 101, 29, 113]","[1.0599544718162845, 0.9605432960142072, 0.9316418910429836, 0.7217697218966987, 0.686095641815588, 0.6306590521021821, 0.6147575604243325, 0.6035951608187143, 0.5993003252566705, 0.5492481037797071]","[21, 130, 192, 60, 125, 59, 151, 156, 22, 109]","[-1.5449205271287232, -1.3574479205123966, -0.8048739577093071, -0.7307720786537207, -0.712321049883135, -0.6307440764228287, -0.6268565388252821, -0.6102621708915491, -0.6066233422273563, -0.5864255263847542]",49.739183064524845,-49.57927239523196
7,58,58,[],[],-0.007630678957806225,"[22, 16, 9, 15, 13, 7, 19, 29, 2, 20]","[0.5006417324169848, 0.4867740831019779, 0.43859995712606015, 0.43548451172898683, 0.4298538960515586, 0.4187666506803477, 0.4179066784486228, 0.41207272464154426, 0.3702028549237186, 0.34546686331083043]","[3, 14, 4, 21, 7, 17, 23, 24, 18, 8]","[-1.1231743904469553, -0.6480073609733367, -0.637816178130329, -0.5164729635692381, -0.5070329382719155, -0.4256326132465517, -0.4234718111757656, -0.35324222234246766, -0.32325648996519735, -0.32291248692202906]",8.268963517801525,-7.261332838843719,58,[3],[-0.5611409482232274],-0.0959551267277442,"[16, 15, 20, 31, 21, 23, 2, 1, 9, 24]","[0.36664146588980107, 0.3187376701608237, 0.28308230041946875, 0.27761155553492284, 0.25093078685999554, 0.2447204708076593, 0.19296350493107428, 0.16937513810548346, 0.16394756751743267, 0.16324528583462683]","[3, 8, 21, 19, 16, 14, 2, 4, 9, 1]","[-0.5611409482232274, -0.3243934910317665, -0.3138608060688671, -0.3091734033125618, -0.2619112135590584, -0.255830749811341, -0.20482496553575627, -0.19835531764135322, -0.19497461730645332, -0.18554862369595504]",4.40716809415962,-3.8723539156551032,58,[3],[-0.5611409482232274],-0.0959551267277442,"[16, 15, 20, 31, 21, 23, 2, 1, 9, 24]","[0.36664146588980107, 0.3187376701608237, 0.28308230041946875, 0.27761155553492284, 0.25093078685999554, 0.2447204708076593, 0.19296350493107428, 0.16937513810548346, 0.16394756751743267, 0.16324528583462683]","[3, 8, 21, 19, 16, 14, 2, 4, 9, 1]","[-0.5611409482232274, -0.3243934910317665, -0.3138608060688671, -0.3091734033125618, -0.2619112135590584, -0.255830749811341, -0.20482496553575627, -0.19835531764135322, -0.19497461730645332, -0.18554862369595504]",4.40716809415962,-3.8723539156551032
8,21,21,"[4, 3, 1, 0, 8, 10, 5, 9, 2, 7, 6]","[-0.010111553872616603, -0.009336786741257357, -0.009037062765717564, -0.008893422748333478, -0.007792956066200773, -0.0074504331838209205, -0.00678066931795401, -0.0065405523856971945, -0.005802902645626245, -0.005690826702388639, -0.004898856604970972]",0.9203198231499887,"[1, 0, 6, 4, 2, 8, 9, 7, 3, 5]","[0.011920144509863388, 0.00987375077637645, 0.008875365544115029, 0.008391339859921555, 0.008015166681269384, 0.007435436400829191, 0.006827171856506898, 0.0067424281339181595, 0.005979732312814961, 0.005619640774396306]","[4, 3, 1, 0, 8, 10, 5, 9, 2, 7]","[-0.010111553872616603, -0.009336786741257357, -0.009037062765717564, -0.008893422748333478, -0.007792956066200773, -0.0074504331838209205, -0.00678066931795401, -0.0065405523856971945, -0.005802902645626245, -0.005690826702388639]",0.07968017685001132,-0.08233602303458375,21,"[4, 3, 1, 0, 8, 10, 5, 9, 2, 7, 6]","[-0.010111553872616603, -0.009336786741257357, -0.009037062765717564, -0.008893422748333478, -0.007792956066200773, -0.0074504331838209205, -0.00678066931795401, -0.0065405523856971945, -0.005802902645626245, -0.005690826702388639, -0.004898856604970972]",0.9203198231499887,"[1, 0, 6, 4, 2, 8, 9, 7, 3, 5]","[0.011920144509863388, 0.00987375077637645, 0.008875365544115029, 0.008391339859921555, 0.008015166681269384, 0.007435436400829191, 0.006827171856506898, 0.0067424281339181595, 0.005979732312814961, 0.005619640774396306]","[4, 3, 1, 0, 8, 10, 5, 9, 2, 7]","[-0.010111553872616603, -0.009336786741257357, -0.009037062765717564, -0.008893422748333478, -0.007792956066200773, -0.0074504331838209205, -0.00678066931795401, -0.0065405523856971945, -0.005802902645626245, -0.005690826702388639]",0.07968017685001132,-0.08233602303458375,21,"[4, 3, 1, 0, 8, 10, 5, 9, 2, 7, 6]","[-0.010111553872616603, -0.009336786741257357, -0.009037062765717564, -0.008893422748333478, -0.007792956066200773, -0.0074504331838209205, -0.00678066931795401, -0.0065405523856971945, -0.005802902645626245, -0.005690826702388639, -0.004898856604970972]",0.9203198231499887,"[1, 0, 6, 4, 2, 8, 9, 7, 3, 5]","[0.011920144509863388, 0.00987375077637645, 0.008875365544115029, 0.008391339859921555, 0.008015166681269384, 0.007435436400829191, 0.006827171856506898, 0.0067424281339181595, 0.005979732312814961, 0.005619640774396306]","[4, 3, 1, 0, 8, 10, 5, 9, 2, 7]","[-0.010111553872616603, -0.009336786741257357, -0.009037062765717564, -0.008893422748333478, -0.007792956066200773, -0.0074504331838209205, -0.00678066931795401, -0.0065405523856971945, -0.005802902645626245, -0.005690826702388639]",0.07968017685001132,-0.08233602303458375
9,183,183,[79],[-2.4916560810588058],-1.2939875128569431,"[86, 4, 38, 2, 99, 34, 36, 9, 77, 45]","[2.917465867076549, 2.7102157121087505, 2.241696976048066, 1.7404875430295828, 1.5297828275598888, 1.5268186479397672, 1.5221086108719104, 1.4209225465492434, 1.389194332002432, 1.3619634559450562]","[79, 40, 14, 4, 34, 69, 8, 20, 73, 80]","[-2.4916560810588058, -2.367600077738313, -2.290726364090067, -2.139041365854544, -2.0185889876307903, -1.7592786947711179, -1.7485047253556203, -1.6509830479468026, -1.6047103235761766, -1.5405891654638915]",69.01198141650237,-69.20964998470423,183,[29],[-1.581537038246568],-0.8272437325948894,"[76, 29, 87, 5, 3, 34, 68, 32, 65, 41]","[2.0694148023172785, 1.522830322133848, 1.2930598233401778, 1.2128542388703412, 1.115520671856733, 1.0705818512128364, 1.0168118731610312, 1.0117139558576191, 0.9693813497892735, 0.9632179140556165]","[29, 46, 91, 25, 86, 39, 65, 16, 0, 69]","[-1.581537038246568, -1.581045781890891, -1.5157773678797821, -1.2928690568248897, -1.220121393383648, -1.1993857801086372, -1.0679687191359273, -0.9960962414553248, -0.9446225796305024, -0.8723308574698477]",38.443804317641344,-38.19809762329302,183,[28],[-1.5044620699402738],-0.7077794937203801,"[77, 88, 5, 31, 3, 35, 69, 45, 75, 43]","[1.7786763649351975, 1.1663969584776006, 1.0963934368595167, 1.0507918856087801, 1.0478283329713625, 1.0305660024542618, 0.9168010816003546, 0.908635262938505, 0.8506029852296271, 0.8193391985929698]","[28, 90, 43, 36, 24, 85, 68, 0, 63, 38]","[-1.5044620699402738, -1.4340051115172368, -1.3429362802017597, -1.1626809992571319, -1.1505280040506352, -1.0669240817650372, -0.8417050417192941, -0.8151782217140424, -0.8038594822158163, -0.7632260672179348]",34.803186071858015,-34.59986864807791
